time,peoplecount_rgb,co2
2021-02-11 13:49:29.000,0,424.0
2021-02-11 13:49:40.244,0,424.0
2021-02-11 13:54:16.555,0,421.0
2021-02-11 13:55:35.000,0,443.0
2021-02-11 13:56:16.304,0,421.0
2021-02-11 14:02:14.972,0,443.0
2021-02-11 14:04:17.016,0,443.0
2021-02-11 14:05:15.819,0,417.0
2021-02-11 14:05:28.000,0,444.0
2021-02-11 14:05:33.878,0,444.0
2021-02-11 14:06:16.862,0,428.0
2021-02-11 14:08:16.458,0,427.0
2021-02-11 14:10:16.198,0,444.0
2021-02-11 14:12:15.454,0,428.0
2021-02-11 14:13:27.000,0,412.0
2021-02-11 14:14:15.124,0,440.0
2021-02-11 14:15:16.177,0,424.0
2021-02-11 14:15:21.000,0,424.0
2021-02-11 14:17:15.839,0,448.0
2021-02-11 14:17:19.000,0,448.0
2021-02-11 14:18:17.033,0,420.0
2021-02-11 14:19:15.440,0,443.0
2021-02-11 14:19:32.000,0,443.0
2021-02-11 14:20:16.709,0,424.0
2021-02-11 14:20:33.579,0,449.0
2021-02-11 14:21:14.926,0,410.0
2021-02-11 14:21:27.000,0,438.0
2021-02-11 14:22:16.191,0,438.0
2021-02-11 14:24:15.664,0,421.0
2021-02-11 14:27:16.499,0,439.0
2021-02-11 14:27:21.674,0,439.0
2021-02-11 14:27:32.000,0,439.0
2021-02-11 14:27:46.589,0,439.0
2021-02-11 14:29:35.345,0,412.0
2021-02-11 14:29:48.460,0,412.0
2021-02-11 14:29:58.294,0,449.0
2021-02-11 14:30:09.309,0,449.0
2021-02-11 14:30:14.814,0,449.0
2021-02-11 14:30:17.540,0,449.0
2021-02-11 14:30:25.745,0,449.0
2021-02-11 14:30:25.776,0,449.0
2021-02-11 14:30:36.790,0,449.0
2021-02-11 14:30:44.424,0,449.0
2021-02-11 14:31:29.384,0,422.0
2021-02-11 14:31:29.415,0,422.0
2021-02-11 14:31:48.030,0,422.0
2021-02-11 14:32:16.943,0,422.0
2021-02-11 14:33:15.229,0,443.0
2021-02-11 14:33:23.655,0,443.0
2021-02-11 14:33:34.670,0,443.0
2021-02-11 14:33:37.000,0,443.0
2021-02-11 14:34:16.347,0,428.0
2021-02-11 14:35:14.736,0,424.0
2021-02-11 14:38:05.195,0,445.0
2021-02-11 14:38:15.610,0,445.0
2021-02-11 14:38:16.210,0,445.0
2021-02-11 14:39:16.620,1,417.0
2021-02-11 14:39:20.000,1,417.0
2021-02-11 14:39:34.275,1,417.0
2021-02-11 14:39:45.290,1,434.0
2021-02-11 14:40:11.635,1,434.0
2021-02-11 14:40:15.216,0,434.0
2021-02-11 14:40:29.150,0,450.0
2021-02-11 14:40:46.685,0,450.0
2021-02-11 14:41:15.010,0,429.0
2021-02-11 14:41:16.230,1,429.0
2021-02-11 14:41:20.445,1,429.0
2021-02-11 14:41:34.660,1,429.0
2021-02-11 14:41:36.000,1,429.0
2021-02-11 14:43:02.595,0,445.0
2021-02-11 14:43:15.737,1,445.0
2021-02-11 14:44:16.826,0,421.0
2021-02-11 14:47:14.910,0,438.0
2021-02-11 14:47:19.000,0,438.0
2021-02-11 14:48:42.525,0,416.0
2021-02-11 14:48:42.556,0,416.0
2021-02-11 14:48:53.570,0,416.0
2021-02-11 14:49:17.266,0,418.0
2021-02-11 14:49:36.000,0,418.0
2021-02-11 14:50:15.766,0,433.0
2021-02-11 14:50:33.700,0,433.0
2021-02-11 14:52:15.222,0,446.0
2021-02-11 14:53:16.464,0,439.0
2021-02-11 14:53:25.000,0,439.0
2021-02-11 14:54:14.978,1,412.0
2021-02-11 14:55:11.896,1,433.0
2021-02-11 14:55:15.981,1,433.0
2021-02-11 14:55:22.911,1,433.0
2021-02-11 14:55:23.000,1,433.0
2021-02-11 14:56:17.252,1,432.0
2021-02-11 14:57:15.791,0,419.0
2021-02-11 14:57:35.000,0,419.0
2021-02-11 14:58:16.687,1,435.0
2021-02-11 14:59:15.099,1,445.0
2021-02-11 14:59:30.000,1,445.0
2021-02-11 14:59:58.975,1,432.0
2021-02-11 15:00:18.430,1,432.0
2021-02-11 15:04:15.452,1,421.0
2021-02-11 15:08:14.393,1,448.0
2021-02-11 15:09:10.135,1,417.0
2021-02-11 15:09:15.746,1,417.0
2021-02-11 15:09:21.150,1,417.0
2021-02-11 15:09:23.000,1,417.0
2021-02-11 15:11:05.584,1,420.0
2021-02-11 15:11:15.217,0,420.0
2021-02-11 15:11:21.000,0,420.0
2021-02-11 15:11:21.900,0,420.0
2021-02-11 15:11:54.835,0,420.0
